"時点","地域コード","地域","総人口（総数）【人】","注記","出生率（人口千対）","注記"
"2014年","46000","鹿児島県","1662000","","8.6",""
"2014年","47000","沖縄県","1426000","","11.6",""
"2015年","01000","北海道","5381733","","6.8",""
"2015年","02000","青森県","1308265","","6.6",""
"2015年","03000","岩手県","1279594","","6.9",""
"2015年","04000","宮城県","2333899","","7.8",""
"2015年","05000","秋田県","1023119","","5.7",""
"2015年","06000","山形県","1123891","","7.0",""
"2015年","07000","福島県","1914039","","7.5",""
"2015年","08000","茨城県","2916976","","7.5",""
"2015年","09000","栃木県","1974255","","7.9",""
"2015年","10000","群馬県","1973115","","7.4",""
"2015年","11000","埼玉県","7266534","","7.8",""
"2015年","12000","千葉県","6222666","","7.7",""
"2015年","13000","東京都","13515271","","8.6",""
"2015年","14000","神奈川県","9126214","","8.2",""
"2015年","15000","新潟県","2304264","","7.1",""
"2015年","16000","富山県","1066328","","7.2",""
"2015年","17000","石川県","1154008","","7.9",""
"2015年","18000","福井県","786740","","8.0",""
"2015年","19000","山梨県","834930","","7.3",""
"2015年","20000","長野県","2098804","","7.5",""
"2015年","21000","岐阜県","2031903","","7.7",""
"2015年","22000","静岡県","3700305","","7.8",""
"2015年","23000","愛知県","7483128","","9.0",""
"2015年","24000","三重県","1815865","","7.8",""
"2015年","25000","滋賀県","1412916","","9.1",""
"2015年","26000","京都府","2610353","","7.7",""
"2015年","27000","大阪府","8839469","","8.1",""
"2015年","28000","兵庫県","5534800","","8.1",""
"2015年","29000","奈良県","1364316","","7.3",""
"2015年","30000","和歌山県","963579","","7.3",""
"2015年","31000","鳥取県","573441","","8.1",""
"2015年","32000","島根県","694352","","8.1",""
"2015年","33000","岡山県","1921525","","8.2",""
"2015年","34000","広島県","2843990","","8.4",""
"2015年","35000","山口県","1404729","","7.4",""
"2015年","36000","徳島県","755733","","7.4",""
"2015年","37000","香川県","976263","","8.0",""
"2015年","38000","愛媛県","1385262","","7.4",""
"2015年","39000","高知県","728276","","7.0",""
"2015年","40000","福岡県","5101556","","9.0",""
"2015年","41000","佐賀県","832832","","8.5",""
"2015年","42000","長崎県","1377187","","8.0",""
"2015年","43000","熊本県","1786170","","8.8",""
"2015年","44000","大分県","1166338","","7.9",""
"2015年","45000","宮崎県","1104069","","8.4",""
"2015年","46000","鹿児島県","1648177","","8.6",""
"2015年","47000","沖縄県","1433566","","11.9",""
"2016年","01000","北海道","5355000","","6.6",""
"2016年","02000","青森県","1295000","","6.7",""
"2016年","03000","岩手県","1268000","","6.6",""
"2016年","04000","宮城県","2332000","","7.5",""
"2016年","05000","秋田県","1011000","","5.6",""
"2016年","06000","山形県","1114000","","6.8",""
"2016年","07000","福島県","1903000","","7.3",""
"2016年","08000","茨城県","2910000","","7.3",""
"2016年","09000","栃木県","1969000","","7.5",""
"2016年","10000","群馬県","1969000","","7.1",""
"2016年","11000","埼玉県","7288000","","7.6",""
"2016年","12000","千葉県","6242000","","7.4",""
"2016年","13000","東京都","13646000","","8.5",""
"2016年","14000","神奈川県","9152000","","7.9",""
"2016年","15000","新潟県","2286000","","6.9",""
"2016年","16000","富山県","1061000","","7.0",""
"2016年","17000","石川県","1151000","","7.8",""
"2016年","18000","福井県","783000","","7.9",""
"2016年","19000","山梨県","831000","","7.1",""
"2016年","20000","長野県","2091000","","7.4",""
"2016年","21000","岐阜県","2024000","","7.5",""
"2016年","22000","静岡県","3690000","","7.6",""
"2016年","23000","愛知県","7509000","","8.8",""
"2016年","24000","三重県","1809000","","7.5",""
"2016年","25000","滋賀県","1414000","","8.7",""
"2016年","26000","京都府","2608000","","7.6",""
"2016年","27000","大阪府","8841000","","7.9",""
"2016年","28000","兵庫県","5526000","","8.0",""
"2016年","29000","奈良県","1357000","","7.0",""
"2016年","30000","和歌山県","956000","","7.0",""
"2016年","31000","鳥取県","570000","","7.8",""
"2016年","32000","島根県","691000","","7.7",""
"2016年","33000","岡山県","1917000","","8.2",""
"2016年","34000","広島県","2840000","","8.1",""
"2016年","35000","山口県","1394000","","7.1",""
"2016年","36000","徳島県","750000","","7.2",""
"2016年","37000","香川県","973000","","7.8",""
"2016年","38000","愛媛県","1377000","","7.3",""
"2016年","39000","高知県","721000","","6.7",""
"2016年","40000","福岡県","5113000","","8.7",""
"2016年","41000","佐賀県","829000","","8.3",""
"2016年","42000","長崎県","1367000","","8.0",""
"2016年","43000","熊本県","1775000","","8.4",""
"2016年","44000","大分県","1160000","","7.9",""
"2016年","45000","宮崎県","1097000","","8.2",""
"2016年","46000","鹿児島県","1637000","","8.4",""
"2016年","47000","沖縄県","1442000","","11.6",""
"2017年","01000","北海道","5325000","","6.4",""
"2017年","02000","青森県","1282000","","6.3",""
"2017年","03000","岩手県","1254000","","6.5",""
"2017年","04000","宮城県","2326000","","7.2",""
"2017年","05000","秋田県","999000","","5.4",""
"2017年","06000","山形県","1103000","","6.6",""
"2017年","07000","福島県","1886000","","7.1",""
"2017年","08000","茨城県","2902000","","7.2",""
"2017年","09000","栃木県","1962000","","7.3",""
"2017年","10000","群馬県","1963000","","6.9",""
"2017年","11000","埼玉県","7307000","","7.4",""
"2017年","12000","千葉県","6258000","","7.2",""
"2017年","13000","東京都","13768000","","8.2",""
"2017年","14000","神奈川県","9173000","","7.6",""
"2017年","15000","新潟県","2267000","","6.6",""
"2017年","16000","富山県","1056000","","6.9",""
"2017年","17000","石川県","1148000","","7.7",""
"2017年","18000","福井県","780000","","7.6",""
"2017年","19000","山梨県","826000","","7.0",""
"2017年","20000","長野県","2082000","","7.1",""
"2017年","21000","岐阜県","2012000","","7.1",""
"2017年","22000","静岡県","3681000","","7.3",""
"2017年","23000","愛知県","7528000","","8.5",""
"2017年","24000","三重県","1801000","","7.2",""
"2017年","25000","滋賀県","1414000","","8.3",""
"2017年","26000","京都府","2604000","","7.3",""
"2017年","27000","大阪府","8841000","","7.7",""
"2017年","28000","兵庫県","5515000","","7.7",""
"2017年","29000","奈良県","1349000","","6.7",""
"2017年","30000","和歌山県","948000","","6.9",""
"2017年","31000","鳥取県","566000","","7.7",""
"2017年","32000","島根県","687000","","7.5",""
"2017年","33000","岡山県","1911000","","7.9",""
"2017年","34000","広島県","2833000","","7.9",""
"2017年","35000","山口県","1382000","","6.9",""
"2017年","36000","徳島県","744000","","7.0",""
"2017年","37000","香川県","968000","","7.7",""
"2017年","38000","愛媛県","1368000","","7.1",""
"2017年","39000","高知県","714000","","6.8",""
"2017年","40000","福岡県","5123000","","8.6",""
"2017年","41000","佐賀県","825000","","8.2",""
"2017年","42000","長崎県","1355000","","7.8",""
"2017年","43000","熊本県","1767000","","8.4",""
"2017年","44000","大分県","1152000","","7.6",""
"2017年","45000","宮崎県","1091000","","8.1",""
"2017年","46000","鹿児島県","1626000","","8.2",""
"2017年","47000","沖縄県","1448000","","11.3",""
"2018年","01000","北海道","5293000","","6.2",""
"2018年","02000","青森県","1268000","","6.2",""
"2018年","03000","岩手県","1240000","","6.2",""
"2018年","04000","宮城県","2320000","","7.1",""
"2018年","05000","秋田県","985000","","5.2",""
"2018年","06000","山形県","1092000","","6.4",""
"2018年","07000","福島県","1869000","","6.8",""
"2018年","08000","茨城県","2892000","","6.8",""
"2018年","09000","栃木県","1953000","","7.0",""
"2018年","10000","群馬県","1957000","","6.8",""
"2018年","11000","埼玉県","7325000","","7.1",""
"2018年","12000","千葉県","6273000","","7.1",""
"2018年","13000","東京都","13887000","","8.0",""
"2018年","14000","神奈川県","9197000","","7.4",""
"2018年","15000","新潟県","2246000","","6.5",""
"2018年","16000","富山県","1050000","","6.6",""
"2018年","17000","石川県","1145000","","7.4",""
"2018年","18000","福井県","777000","","7.6",""
"2018年","19000","山梨県","821000","","6.9",""
"2018年","20000","長野県","2073000","","7.0",""
"2018年","21000","岐阜県","2001000","","7.0",""
"2018年","22000","静岡県","3667000","","7.0",""
"2018年","23000","愛知県","7541000","","8.4",""
"2018年","24000","三重県","1793000","","7.2",""
"2018年","25000","滋賀県","1414000","","8.2",""
"2018年","26000","京都府","2598000","","7.1",""
"2018年","27000","大阪府","8838000","","7.6",""
"2018年","28000","兵庫県","5501000","","7.4",""
"2018年","29000","奈良県","1341000","","6.7",""
"2018年","30000","和歌山県","940000","","6.5",""
"2018年","31000","鳥取県","562000","","7.5",""
"2018年","32000","島根県","682000","","7.3",""
"2018年","33000","岡山県","1904000","","7.7",""
"2018年","34000","広島県","2824000","","7.7",""
"2018年","35000","山口県","1369000","","6.6",""
"2018年","36000","徳島県","736000","","6.8",""
"2018年","37000","香川県","963000","","7.2",""
"2018年","38000","愛媛県","1357000","","7.0",""
"2018年","39000","高知県","707000","","6.5",""
"2018年","40000","福岡県","5131000","","8.3",""
"2018年","41000","佐賀県","821000","","8.0",""
"2018年","42000","長崎県","1341000","","7.6",""
"2018年","43000","熊本県","1759000","","8.2",""
"2018年","44000","大分県","1143000","","7.2",""
"2018年","45000","宮崎県","1084000","","7.9",""
"2018年","46000","鹿児島県","1614000","","8.1",""
"2018年","47000","沖縄県","1454000","","11.0",""
"2019年","01000","北海道","5259000","","6.0",""
"2019年","02000","青森県","1253000","","5.8",""
"2019年","03000","岩手県","1226000","","5.7",""
"2019年","04000","宮城県","2312000","","6.5",""
"2019年","05000","秋田県","972000","","4.9",""
"2019年","06000","山形県","1080000","","6.0",""
"2019年","07000","福島県","1852000","","6.3",""
"2019年","08000","茨城県","2879000","","6.4",""
"2019年","09000","栃木県","1943000","","6.6",""
"2019年","10000","群馬県","1949000","","6.3",""
"2019年","11000","埼玉県","7342000","","6.7",""
"2019年","12000","千葉県","6283000","","6.6",""
"2019年","13000","東京都","14007000","","7.6",""
"2019年","14000","神奈川県","9224000","","7.0",""
"2019年","15000","新潟県","2224000","","6.2",""
"2019年","16000","富山県","1043000","","6.4",""
"2019年","17000","石川県","1139000","","7.0",""
"2019年","18000","福井県","771000","","7.0",""
"2019年","19000","山梨県","815000","","6.5",""
"2019年","20000","長野県","2061000","","6.7",""
"2019年","21000","岐阜県","1992000","","6.6",""
"2019年","22000","静岡県","3653000","","6.6",""
"2019年","23000","愛知県","7557000","","7.8",""
"2019年","24000","三重県","1783000","","6.7",""
"2019年","25000","滋賀県","1416000","","7.7",""
"2019年","26000","京都府","2592000","","6.7",""
"2019年","27000","大阪府","8842000","","7.3",""
"2019年","28000","兵庫県","5488000","","7.1",""
"2019年","29000","奈良県","1333000","","6.3",""
"2019年","30000","和歌山県","931000","","6.4",""
"2019年","31000","鳥取県","557000","","7.2",""
"2019年","32000","島根県","677000","","6.9",""
"2019年","33000","岡山県","1897000","","7.3",""
"2019年","34000","広島県","2813000","","7.3",""
"2019年","35000","山口県","1357000","","6.5",""
"2019年","36000","徳島県","728000","","6.3",""
"2019年","37000","香川県","958000","","7.0",""
"2019年","38000","愛媛県","1346000","","6.4",""
"2019年","39000","高知県","699000","","6.2",""
"2019年","40000","福岡県","5134000","","7.9",""
"2019年","41000","佐賀県","817000","","7.7",""
"2019年","42000","長崎県","1327000","","7.3",""
"2019年","43000","熊本県","1749000","","7.7",""
"2019年","44000","大分県","1134000","","6.8",""
"2019年","45000","宮崎県","1077000","","7.6",""
"2019年","46000","鹿児島県","1602000","","7.5",""
"2019年","47000","沖縄県","1462000","","10.4",""
"2020年","01000","北海道","5224614","","5.7",""
"2020年","02000","青森県","1237984","","5.5",""
"2020年","03000","岩手県","1210534","","5.6",""
"2020年","04000","宮城県","2301996","","6.4",""
"2020年","05000","秋田県","959502","","4.7",""
"2020年","06000","山形県","1068027","","5.9",""
"2020年","07000","福島県","1833152","","6.2",""
"2020年","08000","茨城県","2867009","","6.2",""
"2020年","09000","栃木県","1933146","","6.2",""
"2020年","10000","群馬県","1939110","","6.2",""
"2020年","11000","埼玉県","7344765","","6.6",""
"2020年","12000","千葉県","6284480","","6.6",""
"2020年","13000","東京都","14047594","","7.4",""
"2020年","14000","神奈川県","9237337","","6.8",""
"2020年","15000","新潟県","2201272","","5.9",""
"2020年","16000","富山県","1034814","","6.1",""
"2020年","17000","石川県","1132526","","6.9",""
"2020年","18000","福井県","766863","","7.1",""
"2020年","19000","山梨県","809974","","6.5",""
"2020年","20000","長野県","2048011","","6.4",""
"2020年","21000","岐阜県","1978742","","6.3",""
"2020年","22000","静岡県","3633202","","6.4",""
"2020年","23000","愛知県","7542415","","7.6",""
"2020年","24000","三重県","1770254","","6.5",""
"2020年","25000","滋賀県","1413610","","7.6",""
"2020年","26000","京都府","2578087","","6.5",""
"2020年","27000","大阪府","8837685","","7.2",""
"2020年","28000","兵庫県","5465002","","6.9",""
"2020年","29000","奈良県","1324473","","6.0",""
"2020年","30000","和歌山県","922584","","6.3",""
"2020年","31000","鳥取県","553407","","6.9",""
"2020年","32000","島根県","671126","","6.8",""
"2020年","33000","岡山県","1888432","","7.3",""
"2020年","34000","広島県","2799702","","7.1",""
"2020年","35000","山口県","1342059","","6.2",""
"2020年","36000","徳島県","719559","","6.3",""
"2020年","37000","香川県","950244","","6.6",""
"2020年","38000","愛媛県","1334841","","6.1",""
"2020年","39000","高知県","691527","","5.9",""
"2020年","40000","福岡県","5135214","","7.7",""
"2020年","41000","佐賀県","811442","","7.5",""
"2020年","42000","長崎県","1312317","","7.0",""
"2020年","43000","熊本県","1738301","","7.6",""
"2020年","44000","大分県","1123852","","6.8",""
"2020年","45000","宮崎県","1069576","","7.3",""
"2020年","46000","鹿児島県","1588256","","7.4",""
"2020年","47000","沖縄県","1467480","","10.3",""
"2021年","01000","北海道","5183000","","5.6","速報"
"2021年","02000","青森県","1221000","","5.4","速報"
"2021年","03000","岩手県","1196000","","5.4","速報"
"2021年","04000","宮城県","2290000","","6.1","速報"
"2021年","05000","秋田県","945000","","4.6","速報"
"2021年","06000","山形県","1055000","","5.6","速報"
"2021年","07000","福島県","1812000","","5.9","速報"
"2021年","08000","茨城県","2852000","","5.9","速報"
"2021年","09000","栃木県","1921000","","6.1","速報"
"2021年","10000","群馬県","1927000","","6.0","速報"
"2021年","11000","埼玉県","7340000","","6.4","速報"
"2021年","12000","千葉県","6275000","","6.3","速報"
"2021年","13000","東京都","14010000","","7.1","速報"
"2021年","14000","神奈川県","9236000","","6.5","速報"
"2021年","15000","新潟県","2177000","","5.8","速報"
"2021年","16000","富山県","1025000","","6.0","速報"
"2021年","17000","石川県","1125000","","6.5","速報"
"2021年","18000","福井県","760000","","7.0","速報"
"2021年","19000","山梨県","805000","","6.3","速報"
"2021年","20000","長野県","2033000","","6.3","速報"
"2021年","21000","岐阜県","1961000","","6.2","速報"
"2021年","22000","静岡県","3608000","","6.1","速報"
"2021年","23000","愛知県","7517000","","7.4","速報"
"2021年","24000","三重県","1756000","","6.4","速報"
"2021年","25000","滋賀県","1411000","","7.4","速報"
"2021年","26000","京都府","2561000","","6.3","速報"
"2021年","27000","大阪府","8806000","","7.0","速報"
"2021年","28000","兵庫県","5432000","","6.7","速報"
"2021年","29000","奈良県","1315000","","6.0","速報"
"2021年","30000","和歌山県","914000","","6.1","速報"
"2021年","31000","鳥取県","549000","","6.8","速報"
"2021年","32000","島根県","665000","","6.7","速報"
"2021年","33000","岡山県","1876000","","7.1","速報"
"2021年","34000","広島県","2780000","","6.8","速報"
"2021年","35000","山口県","1328000","","6.1","速報"
"2021年","36000","徳島県","712000","","6.1","速報"
"2021年","37000","香川県","942000","","6.7","速報"
"2021年","38000","愛媛県","1321000","","6.1","速報"
"2021年","39000","高知県","684000","","6.0","速報"
"2021年","40000","福岡県","5124000","","7.4","速報"
"2021年","41000","佐賀県","806000","","7.3","速報"
"2021年","42000","長崎県","1297000","","6.9","速報"
"2021年","43000","熊本県","1728000","","7.4","速報"
"2021年","44000","大分県","1114000","","6.6","速報"
"2021年","45000","宮崎県","1061000","","7.2","速報"
"2021年","46000","鹿児島県","1576000","","7.4","速報"
"2021年","47000","沖縄県","1468000","","10.0","速報"
